teryt;f_address
260502;260502 Gowarczów Wyzwolenia 16b
260502;260502 Miłaków Miłaków 72
260508;260508 Adamek Adamek 59a
260604;260604 Opatów Świętokrzyska 39a
260605;260605 Sobów Sobów 100
260605;260605 Sobów Sobów 101
260608;260608 Jasice Jasice 48
260701;260701 Ostrowiec Świętokrzyski Kalinowa 27f
260705;260705 Kunów Kolejowa 26a
260801;260801 Jastrzębniki Jastrzębniki 38
260801;260801 Jastrzębniki Jastrzębniki 39
260804;260804 Brzeście Brzeście 1c
260804;260804 Kopernia Kopernia 30c
260901;260901 Sandomierz Jaśminowa 13
260901;260901 Sandomierz Doktora Milberta 41d
260903;260903 Klimontów Ossolińska 53
260903;260903 Górki Górki 57
260903;260903 Górki Górki 64
261001;261001 Skarżysko-Kamienna Warszawska 2
261001;261001 Skarżysko-Kamienna Moniuszki 31
261001;261001 Skarżysko-Kamienna Rejowska 29a
261001;261001 Skarżysko-Kamienna Rejowska 48a
261001;261001 Skarżysko-Kamienna Rejowska 88a
261001;261001 Skarżysko-Kamienna Prusa 10a
261001;261001 Skarżysko-Kamienna Asfaltowa 53
261001;261001 Skarżysko-Kamienna Leśna 12
261005;261005 Suchedniów Kielecka 1
261005;261005 Suchedniów Źródłowa 69a
261101;261101 Starachowice 6 Września 101g
261101;261101 Starachowice Aleja Św. Jana Pawła II 18
261202;261202 Przeczów Przeczów 71a
261203;261203 Oleśnica Budy 52b
261203;261203 Oleśnica Budy 53a
261203;261203 Oleśnica Budy 64
261204;261204 Osiek Sportowa 15a
261204;261204 Osiek Sportowa 20
261204;261204 Osiek Sportowa 225
261206;261206 Rytwiany Radziwiłła 33
261206;261206 Rytwiany Radziwiłła 36
261206;261206 Rytwiany Klasztorna 26
261207;261207 Poddębowiec Poddębowiec 35
261207;261207 Koniemłoty Poręba 65e
261207;261207 Staszów Opatowska 19a
261207;261207 Staszów Opatowska 35b
261207;261207 Staszów Opatowska 51b
261305;261305 Wola Kuczkowska Wola Kuczkowska 6a
261305;261305 Secemin Struga 7b
261306;261306 Włoszczowa Ewina 51b
261306;261306 Włoszczowa Ewina 144
261306;261306 Włoszczowa Koniecpolska 2b
261306;261306 Włoszczowa Zachodnia 85
261306;261306 Włoszczowa Osiedle Brożka 9a
261306;261306 Włoszczowa Osiedle Broniewskiego 10
060102;060102 Terespol Kodeńska 7
060103;060103 Sławacinek Stary Sławacinek Stary 81
060103;060103 Sławacinek Stary Sławacinek Stary 81a
060103;060103 Sławacinek Stary Sławacinek Stary 83
060103;060103 Sławacinek Stary Sławacinek Stary 85
060103;060103 Sławacinek Stary Sławacinek Stary 85a
060103;060103 Sławacinek Stary Sławacinek Stary 87
060103;060103 Sławacinek Stary Sławacinek Stary 89
060103;060103 Sławacinek Stary Sławacinek Stary 89a
060103;060103 Sławacinek Stary Sławacinek Stary 145
060103;060103 Sławacinek Stary Sławacinek Stary 198
060103;060103 Sławacinek Stary Sławacinek Stary 200
060103;060103 Sławacinek Stary Sławacinek Stary 200a
060201;060201 Biłgoraj Aleja 400-Lecia 14
060201;060201 Biłgoraj Nadstawna 21
060201;060201 Biłgoraj Generała Komorowskiego 20b
060201;060201 Biłgoraj Generała Andersa 1
060403;060403 Kopyłów Kopyłów 103
060408;060408 Alojzów Alojzów 87
060408;060408 Alojzów Alojzów 90
060506;060506 Modliborzyce Piłsudskiego 192
060807;060807 Łucka Łucka 71a
060807;060807 Łucka Łucka 71b
060901;060901 Malinowszczyzna Malinowszczyzna 68
060903;060903 Bychawa Wyspiańskiego 45
060910;060910 Niedrzwica Kościelna Niedrzwica Kościelna 43a
060911;060911 Niemce Lubelska 1262a
060911;060911 Niemce Spacerowa 15r
060911;060911 Niemce Leśna 33a
060913;060913 Wojciechów-Kolonia Piąta Wojciechów-Kolonia Piąta 1a
060913;060913 Wojciechów-Kolonia Piąta Wojciechów-Kolonia Piąta 4
061002;061002 Rozpłucie Pierwsze Rozpłucie Pierwsze 41
061003;061003 Łęczna Cegielniana 24
061004;061004 Milejów-Osada 11 Listopada 49
061004;061004 Milejów-Osada 11 Listopada 77
061101;061101 Łuków Konarskiego 2a
061101;061101 Łuków Strzelnicza 35k
061102;061102 Stoczek Łukowski Ostoi 4
061304;061304 Szytki Witosa 1h
061404;061404 Kazimierz Dolny Cmentarna 25
061406;061406 Płonki Płonki 26a
061406;061406 Płonki Płonki 26c
061406;061406 Kurów Głowackiego 90
061406;061406 Kurów Głęboka 23a
061406;061406 Olesin Olesin 67
061406;061406 Olesin Olesin 81
061409;061409 Gołąb Gołąb 61d
061501;061501 Radzyń Podlaski Wisznicka 109
061501;061501 Radzyń Podlaski Wisznicka 111a
061502;061502 Tchórzew-Kolonia Tchórzew-Kolonia 190b
061502;061502 Tchórzew-Kolonia Tchórzew-Kolonia 205a
061502;061502 Tchórzew-Kolonia Tchórzew-Kolonia 209a
